"Story","Title","Result","Date","Stability","Duration (s)"
"Login de usuario en Demoblaze","Login exitoso de usuario","SUCCESS","2026-03-27T23:12:11.9043764-05:00[America/Bogota]","0.0","9.58"
"Registro de usuario en Demoblaze","Registro exitoso de usuario","SUCCESS","2026-03-27T23:12:36.8542447-05:00[America/Bogota]","0.0","5.73"
