"Story","Title","Result","Date","Stability","Duration (s)"
"Login de usuario en Demoblaze","Login exitoso de usuario","ERROR","2026-03-27T23:09:23.9977756-05:00[America/Bogota]","0.0","3.26"
"Login de usuario y compra de producto  en Demoblaze","Compra exitosa de producto","ERROR","2026-03-27T23:09:27.4668211-05:00[America/Bogota]","0.0","3.23"
