"Story","Title","Result","Date","Stability","Duration (s)"
"Login de usuario en Demoblaze","Login exitoso de usuario","SUCCESS","2026-03-27T23:12:11.9043764-05:00[America/Bogota]","0.0","9.58"
"Login de usuario y compra de producto  en Demoblaze","Compra exitosa de producto","SUCCESS","2026-03-27T23:12:21.683154-05:00[America/Bogota]","0.0","15.01"
"Registro de usuario en Demoblaze","Registro exitoso de usuario","SUCCESS","2026-03-27T23:12:36.8542447-05:00[America/Bogota]","0.0","5.73"
