"Story","Title","Result","Date","Stability","Duration (s)"
"Login de usuario en Demoblaze","Login exitoso de usuario","SUCCESS","2026-03-23T21:45:37.6570968-05:00[America/Bogota]","0.0","8.47"
"Registro de usuario en Demoblaze","Registro exitoso de usuario","SUCCESS","2026-03-23T21:45:59.6730725-05:00[America/Bogota]","0.0","7.08"
